plataforma,sample,jogo,genero,nota_do_usuarios,nota_do_site,distribuidor,desenvolvedor,quantos_possuem,quantos_desejam,numero_de_jogadores,ano_de_lancamento
xbox360,26,virtua_fighter_5,luta,8.4,9.1,sega,sega_am2,1318,911,2,2007
xbox360,27,ace_combat_6,luta,8.6,8.1,namco_bandai_games_america,namco_bandai_games,3909,2441,1,2007
xbox360,28,fifa_soccer_08,esporte,8.1,8.2,ea_sports,ea_canada,1527,726,4,2007
xbox360,29,nba_2k8,esporte,8.5,8.4,2k_sports,visual_concepts,1201,630,4,2007
xbox360,30,project_gotham_4,corrida,8.6,8.7,microsoft_game_studios,bizarre_creations,2828,1677,2,2007
wii,1,super_mario_galaxy,aventura,9.4,9.7,nintendo,nintendo,1862,11159,2,2007
wii,2,resident_evil_4_wii_edition,tiro,9.1,9.1,capcom,capcom,1685,1735,1,2007
wii,3,warioware_smooth_moves,party_game,8.6,8.2,nintendo,intelligent_sys.,1192,2009,4,2007
wii,4,paper_mario_for_wii,aventura,9,9,nintendo,intelligent_sys.,284,268,1,2007
wii,5,the_legend_of_zelda_ocarina_of_time,rpg,9.5,8.9,nintendo,nintendo,320,366,1,2007
wii,6,super_paper_mario_for_wii,aventura,8.8,8.5,nintendo,intelligent_sys.,1828,3807,1,2007
wii,7,the_legend_of_zelda_twilight_princess,rpg,9.4,9.4,nintendo,nintendo,6836,8383,1,2007
wii,8,zack_&_wiki_treasure,puzzle,8.6,8.5,capcom,capcom,123,680,4,2007
wii,9,metroid_prime_3_corruption,tiro,9.1,8.5,nintendo,retro_studios,8706,1874,1,2007
wii,10,super_metroid_for_wii,aventura,9.4,8.5,nintendo,nintendo,129,127,1,2007
wii,11,mercury_meltdown_revolution,puzzle,7.7,8.5,ignition_ent.,ignition_ent.,43,298,1,2007
wii,12,super_mario_world_for_wii,aventura,9.1,8.5,nintendo,nintendo,260,234,2,2007
wii,13,the_legend_of_zelda_a_link_to_the_past,rpg,9.3,8.5,nintendo,nintendo,222,213,1,2007
wii,14,madden_nfl_07,esporte,8.5,8.4,ea_sports,ea_canada,404,489,4,2007
wii,15,super_mario_bros_for_wii,aventura,9,8.3,nintendo,nintendo,225,149,2,2007
wii,16,super_monkey_ball_banana_blitz,party_game,7.6,8.3,sega,sega,346,602,4,2007
wii,17,gunstar_heroes,tiro,8.5,8.1,sega,treasure,76,104,2,2007
wii,18,medal_of_honor_2_heroes,tiro,8.7,8,electronic_arts,ea_la,87,556,1,2007
wii,19,alien_soldier,aventura,6.6,8,sega,treasure,3,23,1,2007
wii,20,guitar_heros_3_legends_of_rock,musica,9,8,redoctane,vicarious_visions,514,1617,2,2007
wii,21,the_sims_2_cast_away,rpg,8.2,8,electronic_arts,maxis,33,188,1,2007
wii,22,mlb_power_pros_for_wii,esporte,8.3,8,2k_sports,konami,65,153,2,2007
wii,23,sin_and_punishment_for_wii,tiro,8.5,8,nintendo,treasure,36,65,2,2007
wii,24,sonic_the_hedgehog_for_wii,aventura,8.6,8,nintendo,sega,22,39,2,2007
wii,25,dynamite_headdy,aventura,8.3,8,sega,treasure,3,22,1,2007
wii,26,madden_nfl_08,esporte,7.5,8,ea_sports,ea_tiburon,160,268,4,2007
wii,27,wave_race_64,esporte,8.2,8,nintendo,nintendo,16,47,2,2007
wii,28,super_mario_bros_2,aventura,7.7,8,nintendo,nintendo,43,69,1,2007
wii,29,actraiser_for_wii,aventura,8.3,8,square_enix,square_enix,27,49,1,2007
wii,30,donkey_kong_country_2_for_wii,aventura,8.7,8,nintendo,rare_ltd.,47,87,2,2007
